ID;Assay;Allele X;Allele Y;Name;Type;Auto;Confidence;Final;Converted;Allele X;Allele Y;Comments
S96-A01;A01;A01;A01;S96;Unknown;XY;99,44;XY;;0,618605725;0,537337062;
S96-A02;A02;A02;A02;S96;Unknown;XY;94,79;XY;;0,348638397;0,293190748;
S96-A03;A03;A03;A03;S96;Unknown;YY;99,99;YY;;0,173649673;0,669683522;
S96-A06;A06;A06;A06;S96;Unknown;YY;99,96;YY;;0,224395531;0,655849573;
S96-A05;A05;A05;A05;S96;Unknown;XY;99,9;XY;;0,465178619;0,575192863;
S96-A04;A04;A04;A04;S96;Unknown;XX;99,93;XX;;0,718898146;0,177167936;
S96-A07;A07;A07;A07;S96;Unknown;XX;99,86;XX;;0,711684108;0,275418264;
S96-A08;A08;A08;A08;S96;Unknown;XY;99,71;XY;;0,528553734;0,481524081;
S96-A09;A09;A09;A09;S96;Unknown;YY;99,8;YY;;0,218278633;0,706463139;
S96-A12;A12;A12;A12;S96;Unknown;YY;99,79;YY;;0,183652406;0,721509535;
S96-A11;A11;A11;A11;S96;Unknown;XY;99,78;XY;;0,541619275;0,564253887;
S96-A10;A10;A10;A10;S96;Unknown;XX;99,79;XX;;0,673908403;0,139769179;
S96-A13;A13;A13;A13;S96;Unknown;XX;99,88;XX;;0,705244363;0,208742195;
S96-A14;A14;A14;A14;S96;Unknown;XY;99,25;XY;;0,406200347;0,34087167;
S96-A15;A15;A15;A15;S96;Unknown;XY;99,75;XY;;0,516036842;0,512146995;
S96-A18;A18;A18;A18;S96;Unknown;XY;99,84;XY;;0,524060751;0,579327943;
S96-A17;A17;A17;A17;S96;Unknown;XX;99,96;XX;;0,720259327;0,199006348;
S96-A16;A16;A16;A16;S96;Unknown;XY;93,92;XY;;0,47143713;0,626597395;
S96-A19;A19;A19;A19;S96;Unknown;YY;99,84;YY;;0,253577682;0,690719161;
S96-A20;A20;A20;A20;S96;Unknown;XY;99,02;XY;;0,56198153;0,54406325;
S96-A21;A21;A21;A21;S96;Unknown;XY;98,68;XY;;0,538687876;0,482712102;
S96-A24;A24;A24;A24;S96;Unknown;XY;99,66;XY;;0,526059666;0,566885192;
S96-A23;A23;A23;A23;S96;Unknown;YY;99,96;YY;;0,136837973;0,736890236;
S96-A22;A22;A22;A22;S96;Unknown;YY;99,88;YY;;0,194411218;0,719675605;
